Date,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,CBOE_VIX,GSCPI_Index
2000-01-01,,,24.95,-0.59
2000-02-01,,,23.37,-0.41
2000-03-01,,,24.11,-0.27
2000-04-01,,,26.2,0.14
2000-05-01,,,23.65,0.29
2000-06-01,,,19.54,0.05
2000-07-01,,,20.74,0.0
2000-08-01,,,16.84,0.1
2000-09-01,,,20.57,0.06
2000-10-01,,,23.63,-0.5
2000-11-01,,,29.65,-0.71
2000-12-01,,,26.85,-0.9
2001-01-01,,,22.02,-0.89
2001-02-01,,,28.35,-0.74
2001-03-01,,,28.64,-0.57
2001-04-01,,,25.48,-0.97
2001-05-01,,,22.64,-1.08
2001-06-01,,,19.06,-0.66
2001-07-01,,,21.62,-0.8
2001-08-01,,,24.92,-0.75
2001-09-01,,,31.93,-0.64
2001-10-01,,,33.56,-1.19
2001-11-01,,,23.84,-1.4
2001-12-01,,,23.8,-1.11
2002-01-01,,,21.09,-0.87
2002-02-01,,,21.59,-0.43
2002-03-01,,,17.4,-0.42
2002-04-01,,,21.91,-0.57
2002-05-01,,,19.98,-0.29
2002-06-01,733.00,,25.4,-0.6
2002-07-01,742.00,,32.03,-0.93
2002-08-01,728.00,648.00,32.64,-1.06
2002-09-01,683.00,710.00,39.69,-1.11
2002-10-01,721.00,"1,129.00",31.14,-1.21
2002-11-01,886.00,"1,270.00",27.5,-0.7
2002-12-01,"1,033.00","1,311.00",28.62,-0.65
2003-01-01,"1,061.00","1,648.00",31.17,-0.59
2003-02-01,"1,183.00","1,931.00",29.63,-0.28
2003-03-01,"1,441.00","1,557.00",29.15,-0.3
2003-04-01,"1,153.00","1,150.00",21.21,-0.53
2003-05-01,918.00,"1,356.00",19.47,-0.17
2003-06-01,874.00,957.00,19.52,-0.09
2003-07-01,"1,095.00",867.00,19.49,0.03
2003-08-01,"1,049.00",822.00,18.63,-0.04
2003-09-01,888.00,"1,055.00",22.72,0.08
2003-10-01,840.00,"1,274.00",16.1,-0.25
2003-11-01,991.00,"1,566.00",16.32,-0.4
2003-12-01,"1,099.00","2,242.00",18.31,-0.37
2004-01-01,"1,327.00","2,013.00",16.63,-0.5
2004-02-01,"1,469.00","1,394.00",14.55,-0.38
2004-03-01,"1,042.00","1,370.00",16.74,-0.03
2004-04-01,908.00,"1,129.00",17.19,0.4
2004-05-01,"1,100.00","1,450.00",15.5,0.33
2004-06-01,"1,113.00","1,450.00",14.34,0.4
2004-07-01,"1,025.00","1,507.00",15.32,-0.45
2004-08-01,"1,032.00","1,266.00",15.29,0.07
2004-09-01,"1,057.00","2,012.00",13.34,-0.02
2004-10-01,"1,757.00","3,008.00",16.27,-0.6
2004-11-01,"1,755.00","2,797.00",13.24,-0.04
2004-12-01,"1,619.00","2,145.00",13.29,0.12
2005-01-01,"1,309.00","1,357.00",12.82,-0.09
2005-02-01,"1,250.00","1,611.00",12.08,-0.13
2005-03-01,"1,285.00","1,373.00",14.02,-0.27
2005-04-01,"1,173.00","1,274.00",15.31,-1.3
2005-05-01,"1,039.00","1,251.00",13.29,-0.96
2005-06-01,"1,122.00","1,193.00",12.04,-0.92
2005-07-01,989.00,"1,097.00",11.57,-0.86
2005-08-01,"1,212.00","1,076.00",12.6,-0.48
2005-09-01,"1,797.00","1,514.00",11.92,0.07
2005-10-01,"1,842.00","2,196.00",15.32,-0.1
2005-11-01,"1,316.00","2,149.00",12.06,-0.65
2005-12-01,"1,587.00","2,077.00",12.07,-0.7
2006-01-01,"1,394.00","1,708.00",12.95,-0.38
2006-02-01,"1,005.00","1,109.00",12.34,-0.75
2006-03-01,816.00,"1,019.00",11.39,-0.42
2006-04-01,"1,127.00","1,106.00",11.59,0.08
2006-05-01,"1,045.00","1,159.00",16.44,0.1
2006-06-01,"1,076.00","1,375.00",13.08,0.14
2006-07-01,"1,227.00","1,400.00",14.95,-0.1
2006-08-01,"1,263.00","1,424.00",12.31,0.05
2006-09-01,"1,116.00","1,275.00",11.98,-0.63
2006-10-01,872.00,"1,237.00",11.1,-0.5
2006-11-01,931.00,996.00,10.91,-0.23
2006-12-01,"1,289.00","1,461.00",11.56,-0.45
2007-01-01,911.00,"1,195.00",10.42,-0.87
2007-02-01,"1,055.00","1,101.00",15.42,-0.71
2007-03-01,"1,096.00","1,398.00",14.64,-0.58
2007-04-01,"1,049.00","1,236.00",14.22,-0.81
2007-05-01,"1,157.00","1,016.00",13.05,-0.41
2007-06-01,949.00,"1,029.00",16.23,-0.37
2007-07-01,918.00,999.00,23.52,-0.43
2007-08-01,780.00,810.00,23.38,-0.1
2007-09-01,771.00,920.00,18.0,-0.04
2007-10-01,808.00,"1,079.00",18.53,-0.61
2007-11-01,"1,184.00","1,535.00",22.87,-0.48
2007-12-01,"1,086.00","2,143.00",22.5,-0.15
2008-01-01,943.00,"1,188.00",26.2,-0.36
2008-02-01,946.00,"1,167.00",26.54,0.45
2008-03-01,883.00,"1,510.00",25.61,0.15
2008-04-01,"1,210.00","1,651.00",20.79,0.13
2008-05-01,"1,369.00","1,993.00",17.83,-0.12
2008-06-01,"1,465.00","1,902.00",23.95,0.27
2008-07-01,"1,305.00","1,965.00",22.94,0.99
2008-08-01,"1,480.00","1,458.00",20.65,0.28
2008-09-01,"1,399.00","1,538.00",39.39,-0.54
2008-10-01,"1,063.00","1,298.00",59.89,-0.99
2008-11-01,888.00,"1,073.00",55.28,-1.5
2008-12-01,838.00,"1,243.00",40.0,-0.66
2009-01-01,598.00,611.00,44.84,-0.37
2009-02-01,554.00,601.00,46.35,-0.42
2009-03-01,372.00,540.00,44.14,0.21
2009-04-01,403.00,477.00,36.5,0.88
2009-05-01,481.00,482.00,28.92,0.37
2009-06-01,465.00,648.00,26.35,-0.49
2009-07-01,465.00,474.00,25.92,-0.73
2009-08-01,433.00,500.00,26.01,-1.1
2009-09-01,518.00,570.00,25.61,-0.49
2009-10-01,442.00,593.00,30.69,-0.45
2009-11-01,519.00,679.00,24.51,-0.79
2009-12-01,634.00,814.00,21.68,-0.62
2010-01-01,885.00,"1,077.00",24.62,-0.33
2010-02-01,762.00,897.00,19.5,-0.17
2010-03-01,708.00,964.00,17.59,0.35
2010-04-01,733.00,996.00,22.05,0.27
2010-05-01,680.00,962.00,32.07,0.4
2010-06-01,785.00,855.00,34.54,-0.05
2010-07-01,796.00,796.00,23.5,-0.05
2010-08-01,679.00,715.00,26.05,0.31
2010-09-01,624.00,686.00,23.7,0.38
2010-10-01,627.00,758.00,21.2,0.69
2010-11-01,740.00,882.00,23.54,0.45
2010-12-01,759.00,"1,043.00",17.75,0.7
2011-01-01,644.00,662.00,19.53,0.78
2011-02-01,724.00,919.00,18.35,0.37
2011-03-01,841.00,932.00,17.74,0.73
2011-04-01,892.00,829.00,14.75,1.59
2011-05-01,716.00,761.00,15.45,0.92
2011-06-01,694.00,747.00,16.52,0.2
2011-07-01,684.00,721.00,25.25,0.29
2011-08-01,688.00,679.00,31.62,-0.1
2011-09-01,725.00,697.00,42.96,-0.55
2011-10-01,728.00,773.00,29.96,-0.37
2011-11-01,719.00,788.00,27.8,0.14
2011-12-01,908.00,930.00,23.4,-0.04
2012-01-01,651.00,813.00,19.44,0.39
2012-02-01,723.00,784.00,18.43,0.02
2012-03-01,642.00,818.00,15.5,-0.36
2012-04-01,626.00,779.00,17.15,-0.31
2012-05-01,605.00,707.00,24.06,-0.66
2012-06-01,565.00,682.00,17.08,-0.7
2012-07-01,579.00,642.00,18.93,-0.67
2012-08-01,581.00,627.00,17.47,-0.13
2012-09-01,642.00,649.00,15.73,-0.24
2012-10-01,647.00,674.00,18.6,0.02
2012-11-01,741.00,705.00,15.87,-0.33
2012-12-01,756.00,764.00,18.02,-0.13
2013-01-01,706.00,636.00,14.28,-0.03
2013-02-01,693.00,697.00,15.51,-0.36
2013-03-01,691.00,661.00,12.7,-0.53
2013-04-01,609.00,619.00,13.52,-0.71
2013-05-01,589.00,612.00,16.3,-0.84
2013-06-01,561.00,577.00,16.86,-0.64
2013-07-01,615.00,624.00,13.45,-0.64
2013-08-01,604.00,622.00,17.01,-0.55
2013-09-01,546.00,584.00,16.6,-0.27
2013-10-01,487.00,595.00,13.75,-0.18
2013-11-01,579.00,674.00,13.7,-0.68
2013-12-01,616.00,997.00,13.72,-0.49
2014-01-01,606.00,"1,005.00",18.41,-0.63
2014-02-01,629.00,726.00,14.0,-0.29
2014-03-01,610.00,700.00,13.88,-0.62
2014-04-01,522.00,648.00,13.41,-0.81
2014-05-01,525.00,657.00,11.4,-0.82
2014-06-01,549.00,724.00,11.57,-0.68
2014-07-01,556.00,833.00,16.95,-0.81
2014-08-01,545.00,699.00,11.98,-0.62
2014-09-01,570.00,623.00,16.31,-0.82
2014-10-01,735.00,809.00,14.03,-0.59
2014-11-01,823.00,866.00,13.33,-0.97
2014-12-01,787.00,862.00,19.2,-0.39
2015-01-01,678.00,863.00,20.97,-0.5
2015-02-01,695.00,841.00,13.34,-0.31
2015-03-01,676.00,809.00,15.29,-0.38
2015-04-01,606.00,754.00,14.55,-0.33
2015-05-01,694.00,857.00,13.84,-0.54
2015-06-01,784.00,976.00,18.23,-0.85
2015-07-01,728.00,755.00,12.12,-0.4
2015-08-01,591.00,598.00,28.43,-0.67
2015-09-01,511.00,715.00,24.5,-0.38
2015-10-01,464.00,788.00,15.07,-0.22
2015-11-01,531.00,907.00,16.13,-0.63
2015-12-01,580.00,869.00,18.21,-0.59
2016-01-01,645.00,817.00,20.2,-0.79
2016-02-01,515.00,730.00,20.55,-0.73
2016-03-01,495.00,840.00,13.95,-0.63
2016-04-01,545.00,730.00,15.7,-0.26
2016-05-01,496.00,753.00,14.19,-0.71
2016-06-01,464.00,691.00,15.63,-0.28
2016-07-01,465.00,541.00,11.87,-0.16
2016-08-01,447.00,515.00,13.42,0.1
2016-09-01,352.00,625.00,13.29,-0.29
2016-10-01,417.00,656.00,17.06,-0.05
2016-11-01,439.00,891.00,13.33,-0.31
2016-12-01,678.00,919.00,14.04,-0.22
2017-01-01,603.00,901.00,11.99,0.17
2017-02-01,601.00,835.00,12.92,0.15
2017-03-01,751.00,790.00,12.37,0.07
2017-04-01,613.00,785.00,10.82,0.0
2017-05-01,558.00,768.00,10.41,-0.14
2017-06-01,563.00,663.00,11.18,0.09
2017-07-01,541.00,639.00,10.26,0.09
2017-08-01,703.00,677.00,10.59,0.39
2017-09-01,667.00,776.00,9.51,0.55
2017-10-01,528.00,871.00,10.18,0.78
2017-11-01,634.00,806.00,11.28,0.81
2017-12-01,720.00,827.00,11.04,0.68
2018-01-01,602.00,664.00,13.54,0.58
2018-02-01,622.00,658.00,19.85,0.05
2018-03-01,560.00,661.00,19.97,0.43
2018-04-01,567.00,656.00,15.93,0.5
2018-05-01,555.00,754.00,15.43,0.36
2018-06-01,496.00,712.00,16.09,0.42
2018-07-01,498.00,768.00,12.83,0.42
