,Global_GDP,US_Industrial_Production_Index,Global_Inflation,US_CPI_Fuels,10Y_Treasury_Yield,Fed_Funds_Rate,RealGDP_PerCapita,Unemployment_rate,opec_prod,Global_Prod,Econ_Policy_Uncertainty,Global_Policy_Uncertainty,US_FinReports_Petroleum_Coal,Vol_Energy_Regulation,Vol_Elections,WTI_Futures,US Dollar Index (DXY),WTI_Spot,Brent_Spot,NaturalGas_Spot,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,GSCPI_Index
2004-01-01,44116244570755.0,92.3268,3.51799903099596,148.7,4.15,1.0,52179.0,5.7,19536.6986302,83153.5017431694,94.51192913553524,72.57179193291277,39882.0,0.10573,1.05727,87.19999694824219,16.6299991607666,33.04999923706055,31.28,6.14,1327.0,2013.0,-0.5
2004-02-01,44419917584754.4,92.8995,3.567103337342906,147.2,4.08,1.01,52275.66666666666,5.6,19589.98435205833,83280.11705429798,53.071842748070026,71.39588502707733,40685.333333333336,0.25981,0.41569,87.30999755859375,14.550000190734863,34.404998779296875,30.86,5.37,1469.0,1394.0,-0.38
2004-03-01,44723590598753.8,92.5368,3.616207643689852,146.6,3.83,1.0,52372.333333333336,5.8,19643.270073916665,83406.73236542655,38.915768923689086,78.12038848494178,41488.66666666666,0.14511,0.58044,87.61000061035156,16.739999771118164,35.7599983215332,33.63,5.39,1042.0,1370.0,-0.03
2004-04-01,45027263612753.2,92.8957,3.6653119500367977,145.5,4.35,1.0,52469.0,5.6,19696.555795775,83533.34767655513,57.156985768151,76.38413968116156,42292.0,0.10307,0.46382,90.4800033569336,17.190000534057617,37.380001068115234,33.59,5.71,908.0,1129.0,0.4
2004-05-01,45330936626752.6,93.5845,3.714416256383744,151.3,4.72,1.0,52591.0,5.6,19749.841517633333,83659.96298768371,92.67783957726706,91.30488675915788,44301.66666666666,0.1568,0.67946,88.94999694824219,15.5,39.880001068115234,37.57,6.33,1100.0,1450.0,0.33
2004-06-01,45634609640752.0,92.8651,3.76352056273069,154.9,4.73,1.03,52713.0,5.6,19803.127239491667,83786.57829881228,114.73608299109554,76.81223487532225,46311.333333333336,0.15666,0.31332,88.80000305175781,14.34000015258789,37.04999923706055,35.18,6.27,1113.0,1450.0,0.4
2004-07-01,45938282654751.4,93.5502,3.812624869077635,156.4,4.5,1.26,52835.0,5.5,19856.41296135,83913.19360994086,73.3490920294071,74.03428647317895,48321.0,0.11105,1.11046,89.95999908447266,15.31999969482422,43.79999923706055,38.22,5.93,1025.0,1507.0,-0.45
2004-08-01,46241955668750.8,93.6301,3.861729175424581,161.3,4.28,1.43,52970.66666666666,5.4,19909.69868320833,84039.80892106945,95.12458581094263,69.14017972263574,48664.66666666666,0.20639,1.34154,88.94000244140625,15.289999961853027,46.71999931335449,42.74,5.41,1032.0,1266.0,0.07
2004-09-01,46545628682750.2,93.7353,3.910833481771527,164.5,4.13,1.61,53106.333333333336,5.4,19962.984405066665,84166.42423219801,71.32165236865772,78.88870914449251,49008.333333333336,0.0,1.02148,87.36000061035156,13.34000015258789,49.63999938964844,43.2,5.15,1057.0,2012.0,-0.02
2004-10-01,46849301696749.59,94.5695,3.9599377881184727,176.5,4.1,1.76,53242.0,5.5,20016.270126925,84293.0395433266,107.70223015002408,89.19265503805981,49352.0,0.29936,2.0955,84.91000366210938,16.270000457763672,51.7599983215332,49.78,6.35,1757.0,3008.0,-0.6
2004-11-01,47152974710749.0,94.8015,4.009042094465419,186.4,4.19,1.93,53401.0,5.4,20069.555848783333,84419.65485445518,78.57551175347272,84.47134893312901,49820.0,0.15709,1.57093,81.81999969482422,13.239999771118164,49.130001068115234,43.11,6.17,1755.0,2797.0,-0.04
2004-12-01,47456647724748.4,95.5415,4.058146400812364,183.1,4.23,2.16,53560.0,5.4,20122.841570641667,84546.27016558374,28.59229405983308,64.97919628872225,50288.0,0.15462,0.56692,80.8499984741211,13.289999961853027,43.45000076293945,39.6,6.58,1619.0,2145.0,0.12
2005-01-01,47760320738747.8,95.8785,4.10725070715931,181.2,4.22,2.28,53719.0,5.3,20176.1272925,84672.88547671233,77.83283293286578,57.825657810257525,50756.0,0.26127,1.25409,83.5999984741211,12.81999969482422,48.20000076293945,44.51,6.15,1309.0,1357.0,-0.09
2005-02-01,48092778063234.375,96.5709,4.120577701054588,188.5,4.17,2.5,53768.66666666666,5.4,20199.058978,84720.99513082192,31.34054453642505,54.35183578165533,53277.0,0.0,0.27649,82.51000213623047,12.079999923706056,51.75,45.48,6.14,1250.0,1611.0,-0.13
